title,year,genres,critics_score,audience_score
War of the Worlds,2025,"['Sci-Fi', 'Adventure', 'Drama', 'Mystery & Thriller']",4.0,20.0
This Means War,2012,"['Action', 'Comedy']",24.0,56.0
War Machine,2017,"['War', 'Comedy']",48.0,35.0
War Sailor,2022,"['Drama', 'War']",80.0,92.0
World War Z,2013,"['Horror', 'Action', 'Adventure']",67.0,72.0
The War Game,1966,['Drama'],93.0,89.0
The Current War,2019,['Drama'],33.0,72.0
Ken Burns: The Civil War,2015,['Documentary'],100.0,98.0
The Dogs of War,1980,"['Action', 'Drama']",70.0,53.0
Munich: The Edge of War,2021,"['Biography', 'History', 'Drama']",83.0,78.0
The War,1994,"['Drama', 'War']",27.0,73.0
War and Peace,1956,"['History', 'Drama']",50.0,63.0
The Great War,2019,['War'],17.0,31.0
War Room,2015,['Drama'],34.0,87.0
The Fog of War,2003,['Documentary'],96.0,93.0
War and Peace,1966,"['History', 'Drama', 'War', 'Romance']",100.0,94.0
Casualties of War,1989,"['War', 'Drama']",82.0,75.0
War Dogs,2016,"['Comedy', 'Drama']",62.0,69.0
The Lord of the Rings: The War of the Rohirrim,2024,"['Fantasy', 'Adventure', 'Action', 'Anime']",49.0,81.0
Dragon Wars: D-War,2007,"['Action', 'Drama', 'Fantasy']",28.0,19.0
Woman at War,2018,"['Comedy', 'Drama', 'Mystery & Thriller']",97.0,85.0
Primitive War,2025,"['Action', 'Sci-Fi']",56.0,85.0
Baltimore (AKA Rose's War),2023,"['Mystery & Thriller', 'Crime', 'Drama']",88.0,39.0
Warsaw Uprising,2014,"['Drama', 'War']",100.0,80.0
God of War,2017,"['Action', 'Adventure', 'War', 'History', 'Drama']",83.0,52.0
Avengers: Infinity War,2018,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",85.0,92.0
The Flowers of War,2011,"['History', 'Drama', 'War']",41.0,74.0
Justice League: War,2014,"['Action', 'Animation']",57.0,79.0
The War of the Worlds,1953,['Sci-Fi'],89.0,71.0
The Art of War,2000,"['Mystery & Thriller', 'Action']",16.0,35.0
The War of the Worlds,2019,"['Drama', 'Sci-Fi']",89.0,71.0
Justice League Dark: Apokolips War,2020,"['Action', 'Adventure', 'Animation']",100.0,90.0
"Tomorrow, When the War Began",2010,"['Action', 'Adventure']",62.0,57.0
War on Everyone,2016,['Comedy'],61.0,38.0
To End All Wars,2001,"['War', 'History', 'Drama']",62.0,85.0
A Private War,2018,"['Biography', 'Drama', 'War']",87.0,63.0
Boudica: Queen of War,2023,"['History', 'Drama', 'War']",43.0,13.0
Captain America: Civil War,2016,"['Action', 'Adventure', 'Fantasy']",90.0,89.0
The Tomorrow War,2021,"['Sci-Fi', 'Action', 'Adventure']",51.0,76.0
The War Zone,1999,['Drama'],84.0,83.0
War 2,2025,"['Action', 'Mystery & Thriller']",27.0,66.0
Ghosts of War,2020,"['Horror', 'Mystery & Thriller']",38.0,63.0
The War of the Roses,1989,['Comedy'],84.0,71.0
The Ministry of Ungentlemanly Warfare,2024,"['Action', 'Adventure', 'War']",68.0,91.0
The War With Grandpa,2020,['Comedy'],29.0,85.0
Words of War,2025,"['Drama', 'Mystery & Thriller']",75.0,90.0
"War, Inc.",2008,['Comedy'],29.0,38.0
Punisher: War Zone,2008,"['Action', 'Crime', 'Drama', 'Mystery & Thriller']",29.0,42.0
War,2019,"['Action', 'Mystery & Thriller']",67.0,80.0
Warfare,2025,"['Action', 'War', 'Mystery & Thriller', 'Drama']",92.0,93.0
WarGames,1983,"['Mystery & Thriller', 'Action', 'Drama', 'Sci-Fi']",93.0,76.0
Civil War,2024,"['Action', 'War', 'Mystery & Thriller', 'Drama']",81.0,69.0
Charlie Wilson's War,2007,"['Drama', 'Comedy']",82.0,73.0
Cold War,2018,"['Romance', 'Drama']",92.0,82.0
Drug War,2012,"['Crime', 'Drama', 'Action']",94.0,77.0
War for the Planet of the Apes,2017,"['Sci-Fi', 'Action', 'Adventure']",94.0,84.0
War Pony,2022,['Drama'],93.0,82.0
Hart's War,2002,"['War', 'Drama']",60.0,48.0
The Huntsman: Winter's War,2016,"['Fantasy', 'Adventure', 'Action']",20.0,45.0
War,2007,"['Action', 'Mystery & Thriller']",14.0,51.0
War of the Worlds,2005,"['Sci-Fi', 'Adventure', 'Action']",76.0,42.0
War Horse,2011,"['History', 'Drama', 'War']",74.0,74.0
Path to War,2002,"['History', 'Drama']",100.0,75.0
Lord of War,2005,"['Drama', 'Action']",62.0,84.0
War Sailor,2023,"['History', 'Drama', 'War']",80.0,92.0
The War Lord,1965,['Adventure'],67.0,60.0
War and Justice,2023,['Documentary'],83.0,78.0
The Chocolate War,1988,['Drama'],83.0,66.0
Winter in Wartime,2008,"['History', 'Drama', 'War']",75.0,77.0
The War Requiem,1988,['Musical'],100.0,62.0
In Love and War,1996,"['History', 'Drama']",11.0,50.0
The War Below,2021,"['War', 'History', 'Drama']",88.0,71.0
Men in War,1957,['War'],88.0,76.0
The War at Home,1996,['Drama'],60.0,75.0
A Merry War,1997,"['Comedy', 'Drama']",69.0,60.0
The Warlords,2007,"['Action', 'History', 'Drama', 'War']",62.0,70.0
A War,2015,"['War', 'Drama']",90.0,79.0
Justice Society: World War II,2021,"['Action', 'Adventure', 'Animation']",76.0,72.0
Two Who Dared: The Sharp's War,2016,['Documentary'],100.0,72.0
Echoes of War,2015,"['Western', 'Drama']",33.0,44.0
War of the Worlds: Goliath,2014,"['Sci-Fi', 'Action', 'War', 'Animation']",17.0,46.0
Tae Guk Gi: The Brotherhood of War,2004,"['War', 'Drama']",79.0,93.0
"What Did You Do in the War, Daddy?",1966,['Comedy'],50.0,65.0
How I Won the War,1967,"['Comedy', 'War']",47.0,60.0
H.G. Wells' War of the Worlds,2005,['Sci-Fi'],60.0,23.0
War Gods of the Deep,1965,"['Sci-Fi', 'Adventure', 'Fantasy']",33.0,24.0
Oh! What a Lovely War,1969,"['Musical', 'Comedy']",75.0,73.0
The Current War: Director's Cut,2019,"['History', 'Drama', 'Biography']",61.0,79.0
The Great Yokai War,2005,"['Fantasy', 'Adventure']",74.0,67.0
The Second Civil War,1997,['Comedy'],57.0,61.0
5 Days of War,2011,"['Drama', 'War']",35.0,36.0
Arthur and the Two Worlds War,2010,"['Kids & Family', 'Adventure', 'Fantasy', 'Animation']",20.0,43.0
The Fourth War,1990,['Action'],64.0,27.0
The War Room,1993,['Documentary'],96.0,83.0
Porcelain War,2024,"['Documentary', 'War']",96.0,94.0
The War Wagon,1967,['Western'],82.0,77.0
War Game,2024,"['Mystery & Thriller', 'Documentary']",80.0,62.0
The Milagro Beanfield War,1988,"['Comedy', 'Drama']",61.0,74.0
The Silent War,2018,"['Mystery & Thriller', 'War']",56.0,24.0
Uncovered: The Whole Truth About the Iraq War,2004,['Documentary'],100.0,75.0
The Great War,1959,"['Comedy', 'Drama', 'War']",40.0,94.0
War Party,1989,['Action'],0.0,76.0
War of the Buttons,2011,"['Adventure', 'History', 'Drama']",25.0,42.0
War Witch,2012,"['Drama', 'War']",94.0,78.0
The Coming War on China,2016,['Documentary'],88.0,42.0
War Story,2014,['Drama'],57.0,21.0
Kill Chain: The Cyber War on America's Elections,2020,['Documentary'],100.0,96.0
I Was a Male War Bride,1949,['Comedy'],76.0,72.0
Memoir of War,2017,"['History', 'Drama', 'War']",67.0,52.0
War/Dance,2007,['Documentary'],85.0,91.0
The Invisible War,2011,"['Documentary', 'Crime', 'Drama']",99.0,84.0
Bennett's War,2019,['Drama'],50.0,82.0
I Declare War,2012,['Drama'],71.0,53.0
The War Bride,2001,['Drama'],57.0,75.0
Declaration of War,2011,['Drama'],86.0,70.0
Cold War 2,2016,"['Action', 'Crime', 'Drama']",60.0,57.0
The War Within,2005,['Drama'],71.0,64.0
Oil Factor: Behind the War on Terror,2005,[],57.0,83.0
Legend of the Village Warriors,2000,"['War', 'History', 'Drama']",73.0,74.0
Red Alert: The War Within,2010,['Action'],17.0,41.0
War Photographer,2002,['Documentary'],81.0,93.0
Iraq for Sale: The War Profiteers,2006,['Documentary'],100.0,85.0
The Secret War of Harry Frigg,1968,['Comedy'],40.0,43.0
Two Men Went to War,2002,"['Comedy', 'War']",59.0,71.0
Theater of War,2008,['Documentary'],72.0,79.0
The War Show,2016,['Documentary'],100.0,90.0
