	지역명	연도	월	분양가격	전용면적
0	전남	2022	5	10157.4	60~85
1	전남	2022	11	11107.8	~60
2	광주	2020	6	14127.3	102~
3	광주	2020	7	15213.0	85~102
4	전남	2020	6	12292_	102~
5	충북	2019	1	7811.099999999999	전체
6	충북	2021	1	8929.8	85~102
7	충북	2019	5	8500.8	85~102
8	충북	2020	9	9299.4	102~
9	광주	2020	4	12747.9	60~85
10	충북	2021	3	8929.8	85~102
11	전남	2020	8	9969.3	85~102
12	광주	2020	1	14223.0	102~
13	충북	2022	3	9121.199999999999	~60
14	충북	2021	9	9075_	102~
15	충북	2021	6	8797.8	60~85
16	전남	2021	6	10117.8	85~102
17	전남	2021	7	10609_	60~85
18	전남	2022	11	10553_	85~102
19	충북	2021	8	9075_	102~
20	광주	2019	9	11814.0	~60
21	충북	2019	1	7863.9	60~85
22	광주	2021	11	13275.9	60~85
23	충북	2021	9	8566.8	~60
24	광주	2021	12	16338.3	102~
25	충북	2019	9	8355.6	102~
26	광주	2021	10	13190.099999999999	60~85
27	충북	2019	6	7091.7	~60
28	충북	2019	11	7669.2	~60
29	광주	2020	11	13302.3	~60
30	충북	2019	9	7599.9	~60
31	충북	2020	10	7916.7	60~85
32	전남	2019	6	7642.799999999999	60~85
33	전남	2022	10	10748.099999999999	102~
34	전남	2020	4	8550.3	전체
35	전남	2022	3	11295_	~60
36	전남	2019	11	10074.9	102~
37	광주	2022	10	15589.199999999999	전체
38	충북	2021	2	9230_	102~
39	광주	2020	3	14223.0	102~
40	광주	2020	11	12358_	전체
41	충북	2020	12	8596_	60~85
42	광주	2020	6	12949.199999999999	~60
43	충북	2020	7	9299.4	102~
44	전남	2022	7	10256.4	전체
45	충북	2019	3	7593.299999999999	60~85
46	광주	2022	9	15358.199999999999	전체
47	충북	2019	3	7560.299999999999	전체
48	충북	2019	12	7580.099999999999	60~85
49	전남	2019	1	7101_	~60
50	전남	2020	7	8533.8	60~85
51	충북	2021	11	9022.199999999999	102~
52	전남	2019	10	7712.099999999999	85~102
53	전남	2019	7	7804.5	~60
54	광주	2020	5	13622.4	102~
55	광주	2021	1	12906_	전체
56	광주	2019	6	14434.199999999999	102~
57	충북	2022	3	9791.1	85~102
58	충북	2020	9	7910.099999999999	60~85
59	충북	2019	9	7467_	전체
60	광주	2021	5	11734.8	~60
61	충북	2019	8	8500.8	85~102
62	충북	2019	2	7550.4	전체
63	광주	2021	4	15411.0	102~
64	전남	2021	4	9794.4	60~85
65	전남	2022	6	11233.199999999999	102~
66	충북	2019	7	7557.0	전체
67	충북	2022	11	9979.199999999999	60~85
68	전남	2020	12	9342.3	전체
69	충북	2022	4	9372.0	전체
70	전남	2021	3	10748.099999999999	102~
71	전남	2019	1	7712.099999999999	85~102
72	충북	2022	1	9791.1	85~102
73	광주	2021	10	10754.699999999999	~60
74	전남	2021	3	8844_	~60
75	충북	2021	1	8550.3	~60
76	전남	2022	12	10431_	102~
77	전남	2019	11	8292.9	전체
78	전남	2020	11	8900.1	60~85
79	충북	2019	6	7679.099999999999	전체
80	광주	2020	8	15074_	102~
81	전남	2020	5	11985.599999999999	102~
82	광주	2020	5	15213.0	85~102
83	충북	2022	2	9042.0	전체
84	광주	2021	9	9758.1	~60
85	충북	2022	3	9028.8	전체
86	전남	2021	2	9827.4	전체
87	전남	2019	2	7504.2	~60
88	전남	2020	5	9916.5	85~102
89	충북	2021	5	8870.4	85~102
90	광주	2020	4	12949.199999999999	~60
91	충북	2022	1	9075.0	전체
92	충북	2020	4	7887.0	60~85
93	전남	2020	6	8566.8	전체
94	광주	2019	12	12955.8	~60
95	전남	2021	10	9886.8	전체
96	충북	2021	7	9075.0	102~
97	광주	2019	8	12276.0	60~85
98	광주	2020	8	12190.199999999999	전체
99	전남	2021	4	8844.0	~60
